Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00003268,Davis Street Kindergarten,PR-00001457,Davis Street Kindergarten Assoc Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,40 Davis Street,,KEW,3101,VIC,davis.st.kin@kindergarten.vic.gov.au,398171492,40 Davis Street,KEW,Exceeding NQS
SE-00003269,J J Mcmahon Memorial Kindergarten,PR-00001586,J J Mcmahon Memorial Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,16A Argyle Road,,KEW,3101,VIC,info@jjmcmahon.org.au,398173624,16a Argyle Rd,KEW,Exceeding NQS
SE-00003270,Studley Park Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,31 Stawell Street,,KEW,3101,VIC,studley.park.kin@kindergarten.vic.gov.au,398537019,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-00003271,Glass Street Kindergarten Assoc Inc,PR-00001536,Glass Street Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,16A Glass Street,,KEW EAST,3102,VIC,glass.st.kin@kindergarten.vic.gov.au,398596049,16a Glass Street,KEW EAST,Working Towards NQS
SE-00003272,Ruyton Early Learning Kindergarten & Pre Prep,PR-00001788,Ruyton,Independent schools,VIC,Centre-Based Care,2012/1/1,12 Selbourne Road,,KEW,3101,VIC,denholms@ruyton.vic.edu.au,03 9290 9350,Ruyton Girls School,KEW,Exceeding NQS
SE-00003273,North Kew Kindergarten,PR-00001715,North Kew Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,152 Pakington Street,,KEW NORTH,3101,VIC,north.kew.kin@kindergarten.vic.gov.au,398538294,152 Pakington Street,KEW,Exceeding NQS
SE-00003274,Argyle Road Child Care Centre,PR-00002112,William James Cavanagh & Gayle Dawn Cavanagh,Private for profit,VIC,Centre-Based Care,2012/1/1,14 Argyle Road,,KEW,3101,VIC,bill@argyleroad.com.au,03 9817 3467,35 Morey St,CAMBERWELL,Meeting NQS
SE-00003275,Belford Oaks Community Children's Centre,PR-00001602,Kew Full Day Care Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,3 Belford Road,,KEW,3101,VIC,belfordoaks@bigpond.com,03 9859 7148,3 Belford Road,KEW,Exceeding NQS
SE-00003276,Peppercorn Early Learning Centre,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,102 Princess Street,,KEW,3101,VIC,peppercorn@earlylearningservices.com.au,398535260,PO Box 515,VARSITY LAKES,Meeting NQS
SE-00003277,Carey Early Learning Centre Kew,PR-00001409,Carey Baptist Grammar School Ltd,Independent schools,VIC,Centre-Based Care,2012/1/1,24 Wrixon Street,,KEW,3101,VIC,wendy.seidler@carey.com.au,03 9816 1411,349 Barkers Road,KEW,Exceeding NQS
SE-00003278,Wallan Kindergarten,PR-00001674,Mitchell Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,42-80 Bentinck Street,,WALLAN,3756,VIC,wallan.bentinck@mitchellshire.vic.gov.au,357831616,113 High Street,BROADFORD,Meeting NQS
SE-00003279,Wandong Kindergarten,PR-00001674,Mitchell Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Dry Creek Crescent,,WANDONG,3758,VIC,wandong.kindergarten@mitchellshire.vic.gov.au,357871490,113 High Street,BROADFORD,Meeting NQS
SE-00003284,Alchester Village Preschool,PR-00001963,Alchester Village Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,30 Lockwoods Road,,BORONIA,3155,VIC,alchester.village.kin@kindergarten.vic.gov.au,03 9762 8178,30 Lockwoods Road,BORONIA,Exceeding NQS
SE-00003285,Cooinda Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,21 Dinsdale Road,,BORONIA WEST,3155,VIC,Anne.morgan@knox.vic.gov.au,398019506,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003286,Alexander Magit Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,11 Harwell Road,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397583541,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003287,Alice Johnson Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Park Boulevard,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397582973,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003288,Jacobs Early Learning Centre,PR-00006941,Jacobs Early Learning Centre Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,8 Jacob Drive,,ROWVILLE,3178,VIC,admin@jacobselc.com.au,03 9752 7436,8 Jacob Drive,Rowville,Working Towards NQS
SE-00003289,Swinburne Children's Centre Wantirna,PR-00002011,Lilydale Community Child Care Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,369 Stud Road,,WANTIRNA SOUTH,3152,VIC,corrin@swincc.vic.edu.au,398871564,12 - 50 Norton Road,CROYDON,Exceeding NQS
SE-00003290,Bena Angliss Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,30b Forest Road,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397581894,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003292,Wattleview Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Fuchsia Street,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397588442,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003293,F W Kerr Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,15 Roberts Street,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397582069,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003294,Knoxfield Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,81 Anne Road,,KNOXFIELD,3180,VIC,Anne.morgan@knox.vic.gov.au,397637200,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003295,West Gully Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,50 Dobson Street,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397523944,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003297,Rowville Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Wellington Road,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397644591,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003298,The Basin Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,385 Forest Road,,THE BASIN,3154,VIC,Anne.morgan@knox.vic.gov.au,397621854,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003299,Kellbourne Heights Kindergarten & Child Care Centre,PR-40000978,VJ SERVICES AUSTRALIA PTY. LTD. ATF JOSHI FAMILY TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,197-199 Murrindal Drive,,ROWVILLE,3178,VIC,kellbournechildcare@outlook.com,397596133,1 James Rd,GLEN WAVERLEY,Working Towards NQS
SE-00003300,Haering Road Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,17 Haering Road,,BORONIA,3155,VIC,Anne.morgan@knox.vic.gov.au,397290097,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003301,Mariemont Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,9 Mariemont Avenue,,WANTIRNA SOUTH,3152,VIC,Anne.morgan@knox.vic.gov.au,398017931,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003302,Scoresby Village Childcare,PR-00006828,TKNA PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,1315 Ferntree Gully Road,,SCORESBY,3179,VIC,scoresbychildcare@bigpond.com,03 9763 8306,PO Box 9131,SCORESBY,Meeting NQS
SE-00003303,Goodwin Estate Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,28 Rome Beauty Avenue,,THE BASIN,3154,VIC,Anne.morgan@knox.vic.gov.au,397625239,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003304,Billoo Park Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,40 Birchfield Crescent,,WANTIRNA,3152,VIC,Anne.morgan@knox.vic.gov.au,398018580,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003305,Berrabri Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,80 Berrabri Drive,,SCORESBY,3179,VIC,Anne.morgan@knox.vic.gov.au,397630527,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-00003306,Templeton Orchards Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Templeton Street,,WANTIRNA,3152,VIC,Anne.morgan@knox.vic.gov.au,398001328,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-00003307,Riddell Road Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,36 Riddell Road,,WANTIRNA SOUTH,3152,VIC,Anne.morgan@knox.vic.gov.au,398001945,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003308,Windermere Reserve Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Windermere Drive,,FERNTREE GULLY,3156,VIC,Anne.morgan@knox.vic.gov.au,397631995,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003309,Flamingo Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,21 Merryn Grove,,WANTIRNA SOUTH,3152,VIC,Anne.morgan@knox.vic.gov.au,398001595,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003310,Eildon Parade Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,75 Eildon Parade,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397632469,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-00003311,Park Ridge Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Dandelion Drive,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397527838,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003313,Colchester Park Preschool,PR-00001956,Yarra Ranges Kindergartens Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,8A Beresford Drive,,BORONIA,3155,VIC,colchester.park.kin@kindergarten.vic.gov.au,397611018,PO Box 416,MOOROOLBARK,Exceeding NQS
SE-00003314,The Fields Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Pitfield Crescent,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397529531,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003317,Amaroo Child Care Centre,PR-00002090,Supasoft Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,65 Dorset Road,,FERNTREE GULLY,3156,VIC,amaroochildcare@bigpond.com,03 9758 1171,65 Dorset Road,FERNTREE GULLY,Meeting NQS
SE-00003318,Magic Garden Child Care Centre,PR-00002444,Magic Garden Childcare Centre Pty Ltd as Trustee for the MacKenzie Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,1 Linda Crescent,,FERNTREE GULLY,3156,VIC,magicgarden123@gmail.com,397581832,7 Austral Ave,UPWEY,Working Towards NQS
SE-00003322,Taylors Lane Kindergarten,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,130 Taylors Lane,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397648355,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003323,Murrindal Children and Family Centre,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,100 Murrindal Drive,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397596087,511 Burwood Highway,WANTIRNA SOUTH,Exceeding NQS
SE-00003324,Liberty Family Centre,PR-00001611,Knox City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,77 Liberty Avenue,,ROWVILLE,3178,VIC,Anne.morgan@knox.vic.gov.au,397644748,511 Burwood Highway,WANTIRNA SOUTH,Meeting NQS
SE-00003325,Johnson and Friends Childcare & Kinder,PR-40002239,BB GLOBAL VICTORIA PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,779 Burwood Highway,,FERNTREE GULLY,3156,VIC,johnsonandfriends@hotmail.com,397581217,24a Hull Rd,CROYDON,Working Towards NQS
SE-00003326,Inglewood Kindergarten,PR-00002245,Loddon Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,75A Grant Street,,INGLEWOOD,3517,VIC,inglewood.kin@loddon.vic.gov.au,354383533,PO Box 21,WEDDERBURN,Working Towards NQS
SE-00003327,Wedderburn Preschool,PR-00002245,Loddon Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,77 Ridge Street,,WEDDERBURN,3518,VIC,wedderburn.kin@loddon.vic.gov.au,354943183,PO Box 21,WEDDERBURN,Meeting NQS
SE-00003329,Loch & District Preschool Centre,PR-00001640,Loch & District Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,18 Smith Street,,LOCH,3945,VIC,loch.kin@kindergarten.vic.gov.au,03 5659 4200,18 Smith St,LOCH,Working Towards NQS
SE-00003330,Poowong Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,12 Ranceby Road,,POOWONG,3988,VIC,poowong.els@vt.uniting.org,356592367,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00003332,Goroke Preschool,PR-00002396,West Wimmera Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,9 Compston Street,,GOROKE,3412,VIC,goroke.kin@kindergarten.vic.gov.au,353861113,PO Box 201,EDENHOPE,Exceeding NQS
SE-00003333,Kyabram Municipal Preschool,PR-00001617,Kyabram Preschool Management Committee Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,148B Fenaughty Street,,KYABRAM,3620,VIC,kyabram.municipal.kin@kindergarten.vic.gov.au,358521631,PO Box 790,KYABRAM,Meeting NQS
SE-00003334,Unwin Street Preschool,PR-00001617,Kyabram Preschool Management Committee Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,6 Unwin Street,,KYABRAM,3620,VIC,unwin.st.kin@kindergarten.vic.gov.au,358522148,PO Box 790,KYABRAM,Meeting NQS
SE-00003335,Kyabram Community & Learning Centre,PR-00001616,Kyabram Community & Learning Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,21-25 Lake Road,,KYABRAM,3620,VIC,kclcchildcare@kclc.com.au,358520000,21-25 Lake Road,KYABRAM,Meeting NQS
SE-00003336,Lady Brooks Kindergarten,PR-00001646,Macedon Ranges Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,5 Hutton Street,,KYNETON,3444,VIC,eyprogramsupport@mrsc.vic.gov.au,354221463,PO Box 151,KYNETON,Exceeding NQS
SE-00003337,Trentham Early Learning,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,6 Bridge Street,,TRENTHAM,3458,VIC,trentham.kin@kindergarten.vic.gov.au,03 5424 1543,PO Box 2126,BAKERY HILL,Meeting NQS
SE-00003338,Palm Grove Preschool,PR-00002140,Palm Grove Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,21 Palm Grove,,KILSYTH,3137,VIC,palm.grove.kin@kindergarten.vic.gov.au,03 9725 4502,PO Box 33,KILSYTH,Meeting NQS
SE-00003339,Lilydale Preschool,PR-00001988,Lilydale Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Castella Street & Chapel Street,,LILYDALE,3140,VIC,lilydale.kin@kindergarten.vic.gov.au,03 9735 1574,PO Box 336,LILYDALE,Meeting NQS
SE-00003340,Lilydale North Preschool,PR-00002138,Lilydale North Pre-School Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Erldunda Court,,LILYDALE,3140,VIC,lilydale.north.kin@kindergarten.vic.gov.au,397350110,PO Box 819,LILYDALE,Exceeding NQS
SE-00003341,Sarah Court Preschool,PR-00001956,Yarra Ranges Kindergartens Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,25 Sarah Court,,MONTROSE,3765,VIC,sarah.court.kin@kindergarten.vic.gov.au,397283453,PO Box 416,MOOROOLBARK,Exceeding NQS
SE-00003342,Gray Court Preschool,PR-00002061,Gray Court Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Gray Court,,MOOROOLBARK,3138,VIC,gray.court.kin@kindergarten.vic.gov.au,03 9725 6383,6 Gray Court,MOOROOLBARK,Exceeding NQS
SE-00003343,Lancaster Preschool,PR-00001956,Yarra Ranges Kindergartens Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,31 Lancaster Road,,MOOROOLBARK,3138,VIC,lancaster.kin@kindergarten.vic.gov.au,397268398,PO Box 416,MOOROOLBARK,Exceeding NQS
SE-00003344,Manchester Preschool,PR-00002141,Manchester Preschool Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,132 Manchester Road,,MOOROOLBARK,3138,VIC,manchester.kin@kindergarten.vic.gov.au,03 9726 9204,132 Manchester Road,MOOROOLBARK,Meeting NQS
SE-00003345,Mooroolbark Early Childhood Education Centre,PR-00001686,Mooroolbark Early Childhood Education Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,8 Charles Street,,MOOROOLBARK,3138,VIC,mooroolbark.cc@kindergarten.vic.gov.au,03 9726 7392,PO Box 37,MOOROOLBARK,Exceeding NQS
SE-00003346,Mt Evelyn Memorial Preschool,PR-00001695,Mount Evelyn Memorial Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,24 Birmingham Road,,MOUNT EVELYN,3796,VIC,mt.evelyn.memorial.kin@kindergarten.vic.gov.au,03 9736 2488,PO Box 180,MOUNT EVELYN,Exceeding NQS
SE-00003347,Wandin Preschool,PR-00002127,Wandin Pre School Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Union Road,,WANDIN NORTH,3139,VIC,wandin.kin@kindergarten.vic.gov.au,359644532,PO Box 148,WANDIN NORTH,Exceeding NQS
SE-00003348,Bimbadeen Preschool,PR-00002200,Bimbadeen Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,25 Bimbadeen Drive,,MOOROOLBARK,3138,VIC,bimbadeen.kin@kindergarten.vic.gov.au,03 9726 0646,PO Box 140,MOOROOLBARK,Meeting NQS
SE-00003349,Seville Preschool,PR-00001798,Seville Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Link Road,,SEVILLE,3139,VIC,seville.kin@kindergarten.vic.gov.au,359643543,Link Road,SEVILLE,Meeting NQS
SE-00003350,Coldstream Preschool,PR-00001956,Yarra Ranges Kindergartens Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,12 Kelso Street,,COLDSTREAM,3770,VIC,coldstream.kin@kindergarten.vic.gov.au,397391331,PO Box 416,MOOROOLBARK,Exceeding NQS
SE-00003351,Joy Avenue Kindergarten,PR-00001956,Yarra Ranges Kindergartens Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Joy Avenue,,MOUNT EVELYN,3796,VIC,joy.ave.kin@kindergarten.vic.gov.au,397361954,PO Box 416,MOOROOLBARK,Exceeding NQS
SE-00003353,Aussie Kindies Early Learning Kilsyth,PR-40001112,Affinity Education Group Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,469 Mt Dandenong Road,,KILSYTH,3137,VIC,compliance@affinityeducation.com.au,397234488,GPO Box 440,BRISBANE,Meeting NQS
SE-00003354,Rolling Hills Kindergarten,PR-00002135,Rolling Hills Preschool Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,54 Landscape Drive,,MOOROOLBARK,3138,VIC,rolling.hills.kin@kindergarten.vic.gov.au,03 9726 4522,54 Landscape Drive,MOOROOLBARK,Exceeding NQS
