Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Grace St Early Learning Centre,Private for profit,3021,ST ALBANS,management@gracestelc.com.au,03 9364 5832,Meeting NQS,24-26 Grace Street ST ALBANS 3021 VIC,"(-37.7325842, 144.8131058)"
Oarsome Drive Childcare Centre,Private for profit,3037,DELAHEY,admin@oarsomedrivechildcare.com.au,393108611,Meeting NQS,39-41 Oarsome Drive DELAHEY 3037 VIC,"(-37.712667, 144.779369)"
Davis Street Kindergarten,Private not for profit community managed,3101,KEW,davis.st.kin@kindergarten.vic.gov.au,398171492,Exceeding NQS,40 Davis Street KEW 3101 VIC,"(-37.8105811, 145.0472488)"
J J Mcmahon Memorial Kindergarten,Private not for profit community managed,3101,KEW,info@jjmcmahon.org.au,398173624,Exceeding NQS,16A Argyle Road KEW 3101 VIC,"(-37.803545, 145.051416)"
Studley Park Kindergarten,Private not for profit community managed,3101,KEW,studley.park.kin@kindergarten.vic.gov.au,398537019,Meeting NQS,31 Stawell Street KEW 3101 VIC,"(-37.8049828, 145.0234789)"
Glass Street Kindergarten Assoc Inc,Private not for profit community managed,3102,KEW EAST,glass.st.kin@kindergarten.vic.gov.au,398596049,Working Towards NQS,16A Glass Street KEW EAST 3102 VIC,"(-37.7941706, 145.0605076)"
Ruyton Early Learning Kindergarten & Pre Prep,Independent schools,3101,KEW,denholms@ruyton.vic.edu.au,03 9290 9350,Exceeding NQS,12 Selbourne Road KEW 3101 VIC,"(-37.8111656, 145.0397377)"
North Kew Kindergarten,Private not for profit community managed,3101,KEW NORTH,north.kew.kin@kindergarten.vic.gov.au,398538294,Exceeding NQS,152 Pakington Street KEW NORTH 3101 VIC,"(-37.7963191, 145.0364617)"
Argyle Road Child Care Centre,Private for profit,3101,KEW,bill@argyleroad.com.au,03 9817 3467,Meeting NQS,14 Argyle Road KEW 3101 VIC,"(-37.80363, 145.050927)"
Belford Oaks Community Children's Centre,Private not for profit community managed,3101,KEW,belfordoaks@bigpond.com,03 9859 7148,Exceeding NQS,3 Belford Road KEW 3101 VIC,"(-37.8006505, 145.0463114)"
Peppercorn Early Learning Centre,Private for profit,3101,KEW,peppercorn@earlylearningservices.com.au,398535260,Meeting NQS,102 Princess Street KEW 3101 VIC,"(-37.8009903, 145.0303043)"
Carey Early Learning Centre Kew,Independent schools,3101,KEW,wendy.seidler@carey.com.au,03 9816 1411,Exceeding NQS,24 Wrixon Street KEW 3101 VIC,"(-37.8129775, 145.0472114)"
Wallan Kindergarten,State/Territory and Local Government managed,3756,WALLAN,wallan.bentinck@mitchellshire.vic.gov.au,357831616,Meeting NQS,42-80 Bentinck Street WALLAN 3756 VIC,"(-37.4135411, 144.9815456)"
Wandong Kindergarten,State/Territory and Local Government managed,3758,WANDONG,wandong.kindergarten@mitchellshire.vic.gov.au,357871490,Meeting NQS,Dry Creek Crescent WANDONG 3758 VIC,"(-37.3587537, 145.0309136)"
Alchester Village Preschool,Private not for profit community managed,3155,BORONIA,alchester.village.kin@kindergarten.vic.gov.au,03 9762 8178,Exceeding NQS,30 Lockwoods Road BORONIA 3155 VIC,"(-37.8464119, 145.2951337)"
Cooinda Kindergarten,State/Territory and Local Government managed,3155,BORONIA WEST,Anne.morgan@knox.vic.gov.au,398019506,Exceeding NQS,21 Dinsdale Road BORONIA WEST 3155 VIC,"(-37.8611768, 145.259301)"
Alexander Magit Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397583541,Exceeding NQS,11 Harwell Road FERNTREE GULLY 3156 VIC,"(-37.8866517, 145.2700708)"
Alice Johnson Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397582973,Exceeding NQS,Park Boulevard FERNTREE GULLY 3156 VIC,"(-37.868756, 145.2686355)"
Jacobs Early Learning Centre,Private for profit,3178,ROWVILLE,admin@jacobselc.com.au,03 9752 7436,Working Towards NQS,8 Jacob Drive ROWVILLE 3178 VIC,"(-37.9122281, 145.2673818)"
Swinburne Children's Centre Wantirna,Private not for profit community managed,3152,WANTIRNA SOUTH,corrin@swincc.vic.edu.au,398871564,Exceeding NQS,369 Stud Road WANTIRNA SOUTH 3152 VIC,"(-37.8738423, 145.233198)"
Bena Angliss Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397581894,Exceeding NQS,30b Forest Road FERNTREE GULLY 3156 VIC,"(-37.8844301, 145.2972219)"
Wattleview Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397588442,Exceeding NQS,Fuchsia Street FERNTREE GULLY 3156 VIC,"(-37.8747389, 145.2748478)"
F W Kerr Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397582069,Exceeding NQS,15 Roberts Street FERNTREE GULLY 3156 VIC,"(-37.89510540000001, 145.2895862)"
Knoxfield Kindergarten,State/Territory and Local Government managed,3180,KNOXFIELD,Anne.morgan@knox.vic.gov.au,397637200,Exceeding NQS,81 Anne Road KNOXFIELD 3180 VIC,"(-37.8890122, 145.2481488)"
West Gully Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397523944,Exceeding NQS,50 Dobson Street FERNTREE GULLY 3156 VIC,"(-37.8821913, 145.2635208)"
Rowville Kindergarten,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397644591,Exceeding NQS,Wellington Road ROWVILLE 3178 VIC,"(-37.92669009999999, 145.2431383)"
The Basin Kindergarten,State/Territory and Local Government managed,3154,THE BASIN,Anne.morgan@knox.vic.gov.au,397621854,Exceeding NQS,385 Forest Road THE BASIN 3154 VIC,"(-37.8563002, 145.3144733)"
Kellbourne Heights Kindergarten & Child Care Centre,Private for profit,3178,ROWVILLE,kellbournechildcare@outlook.com,397596133,Working Towards NQS,197-199 Murrindal Drive ROWVILLE 3178 VIC,"(-37.9072716, 145.2643822)"
Haering Road Kindergarten,State/Territory and Local Government managed,3155,BORONIA,Anne.morgan@knox.vic.gov.au,397290097,Exceeding NQS,17 Haering Road BORONIA 3155 VIC,"(-37.8549254, 145.271032)"
Mariemont Kindergarten,State/Territory and Local Government managed,3152,WANTIRNA SOUTH,Anne.morgan@knox.vic.gov.au,398017931,Exceeding NQS,9 Mariemont Avenue WANTIRNA SOUTH 3152 VIC,"(-37.855604, 145.236744)"
Scoresby Village Childcare,Private for profit,3179,SCORESBY,scoresbychildcare@bigpond.com,03 9763 8306,Meeting NQS,1315 Ferntree Gully Road SCORESBY 3179 VIC,"(-37.8987953, 145.2284099)"
Goodwin Estate Kindergarten,State/Territory and Local Government managed,3154,THE BASIN,Anne.morgan@knox.vic.gov.au,397625239,Exceeding NQS,28 Rome Beauty Avenue THE BASIN 3154 VIC,"(-37.85520959999999, 145.304824)"
Billoo Park Kindergarten,State/Territory and Local Government managed,3152,WANTIRNA,Anne.morgan@knox.vic.gov.au,398018580,Exceeding NQS,40 Birchfield Crescent WANTIRNA 3152 VIC,"(-37.8624858, 145.2325522)"
Berrabri Kindergarten,State/Territory and Local Government managed,3179,SCORESBY,Anne.morgan@knox.vic.gov.au,397630527,Meeting NQS,80 Berrabri Drive SCORESBY 3179 VIC,"(-37.89393, 145.220309)"
Templeton Orchards Kindergarten,State/Territory and Local Government managed,3152,WANTIRNA,Anne.morgan@knox.vic.gov.au,398001328,Meeting NQS,Templeton Street WANTIRNA 3152 VIC,"(-37.861837, 145.2264029)"
Riddell Road Kindergarten,State/Territory and Local Government managed,3152,WANTIRNA SOUTH,Anne.morgan@knox.vic.gov.au,398001945,Exceeding NQS,36 Riddell Road WANTIRNA SOUTH 3152 VIC,"(-37.880744, 145.243559)"
Windermere Reserve Kindergarten,State/Territory and Local Government managed,3156,FERNTREE GULLY,Anne.morgan@knox.vic.gov.au,397631995,Exceeding NQS,Windermere Drive FERNTREE GULLY 3156 VIC,"(-37.8933701, 145.2646266)"
Flamingo Kindergarten,State/Territory and Local Government managed,3152,WANTIRNA SOUTH,Anne.morgan@knox.vic.gov.au,398001595,Exceeding NQS,21 Merryn Grove WANTIRNA SOUTH 3152 VIC,"(-37.867531, 145.22286)"
Eildon Parade Kindergarten,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397632469,Meeting NQS,75 Eildon Parade ROWVILLE 3178 VIC,"(-37.919357, 145.253208)"
Park Ridge Kindergarten,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397527838,Exceeding NQS,Dandelion Drive ROWVILLE 3178 VIC,"(-37.9201461, 145.2554725)"
Colchester Park Preschool,Private not for profit community managed,3155,BORONIA,colchester.park.kin@kindergarten.vic.gov.au,397611018,Exceeding NQS,8A Beresford Drive BORONIA 3155 VIC,"(-37.8467292, 145.3044793)"
The Fields Kindergarten,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397529531,Exceeding NQS,Pitfield Crescent ROWVILLE 3178 VIC,"(-37.9209707, 145.2564455)"
Amaroo Child Care Centre,Private for profit,3156,FERNTREE GULLY,amaroochildcare@bigpond.com,03 9758 1171,Meeting NQS,65 Dorset Road FERNTREE GULLY 3156 VIC,"(-37.8782199, 145.2843302)"
Magic Garden Child Care Centre,Private for profit,3156,FERNTREE GULLY,magicgarden123@gmail.com,397581832,Working Towards NQS,1 Linda Crescent FERNTREE GULLY 3156 VIC,"(-37.8699865, 145.2628376)"
Taylors Lane Kindergarten,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397648355,Exceeding NQS,130 Taylors Lane ROWVILLE 3178 VIC,"(-37.9114359, 145.247788)"
Murrindal Children and Family Centre,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397596087,Exceeding NQS,100 Murrindal Drive ROWVILLE 3178 VIC,"(-37.9101821, 145.2721097)"
Liberty Family Centre,State/Territory and Local Government managed,3178,ROWVILLE,Anne.morgan@knox.vic.gov.au,397644748,Meeting NQS,77 Liberty Avenue ROWVILLE 3178 VIC,"(-37.9319626, 145.2419972)"
Johnson and Friends Childcare & Kinder,Private for profit,3156,FERNTREE GULLY,johnsonandfriends@hotmail.com,397581217,Working Towards NQS,779 Burwood Highway FERNTREE GULLY 3156 VIC,"(-37.880431, 145.271572)"
Inglewood Kindergarten,State/Territory and Local Government managed,3517,INGLEWOOD,inglewood.kin@loddon.vic.gov.au,354383533,Working Towards NQS,75A Grant Street INGLEWOOD 3517 VIC,"(-36.574032, 143.868985)"
Wedderburn Preschool,State/Territory and Local Government managed,3518,WEDDERBURN,wedderburn.kin@loddon.vic.gov.au,354943183,Meeting NQS,77 Ridge Street WEDDERBURN 3518 VIC,"(-36.4181043, 143.6096775)"
Loch & District Preschool Centre,Private not for profit community managed,3945,LOCH,loch.kin@kindergarten.vic.gov.au,03 5659 4200,Working Towards NQS,18 Smith Street LOCH 3945 VIC,"(-38.3699266, 145.7071139)"
Poowong Kindergarten,Private not for profit community managed,3988,POOWONG,poowong.els@vt.uniting.org,356592367,Exceeding NQS,12 Ranceby Road POOWONG 3988 VIC,"(-38.3429507, 145.7649955)"
Goroke Preschool,State/Territory and Local Government managed,3412,GOROKE,goroke.kin@kindergarten.vic.gov.au,353861113,Exceeding NQS,9 Compston Street GOROKE 3412 VIC,"(-36.7185184, 141.4772226)"
Kyabram Municipal Preschool,Private not for profit community managed,3620,KYABRAM,kyabram.municipal.kin@kindergarten.vic.gov.au,358521631,Meeting NQS,148B Fenaughty Street KYABRAM 3620 VIC,"(-36.3147743, 145.050763)"
Unwin Street Preschool,Private not for profit community managed,3620,KYABRAM,unwin.st.kin@kindergarten.vic.gov.au,358522148,Meeting NQS,6 Unwin Street KYABRAM 3620 VIC,"(-36.3126204, 145.0437449)"
Kyabram Community & Learning Centre,Private not for profit community managed,3620,KYABRAM,kclcchildcare@kclc.com.au,358520000,Meeting NQS,21-25 Lake Road KYABRAM 3620 VIC,"(-36.3164323, 145.0457468)"
Lady Brooks Kindergarten,State/Territory and Local Government managed,3444,KYNETON,eyprogramsupport@mrsc.vic.gov.au,354221463,Exceeding NQS,5 Hutton Street KYNETON 3444 VIC,"(-37.2468177, 144.4516808)"
Trentham Early Learning,Private not for profit community managed,3458,TRENTHAM,trentham.kin@kindergarten.vic.gov.au,03 5424 1543,Meeting NQS,6 Bridge Street TRENTHAM 3458 VIC,"(-37.3887438, 144.3269598)"
Palm Grove Preschool,Private not for profit community managed,3137,KILSYTH,palm.grove.kin@kindergarten.vic.gov.au,03 9725 4502,Meeting NQS,21 Palm Grove KILSYTH 3137 VIC,"(-37.8059075, 145.3175614)"
Lilydale Preschool,Private not for profit community managed,3140,LILYDALE,lilydale.kin@kindergarten.vic.gov.au,03 9735 1574,Meeting NQS,Cnr Castella Street & Chapel Street LILYDALE 3140 VIC,"(-37.7546645, 145.354056)"
Lilydale North Preschool,Private not for profit community managed,3140,LILYDALE,lilydale.north.kin@kindergarten.vic.gov.au,397350110,Exceeding NQS,Erldunda Court LILYDALE 3140 VIC,"(-37.7476425, 145.3404615)"
Sarah Court Preschool,Private not for profit community managed,3765,MONTROSE,sarah.court.kin@kindergarten.vic.gov.au,397283453,Exceeding NQS,25 Sarah Court MONTROSE 3765 VIC,"(-37.8090632, 145.3383467)"
Gray Court Preschool,Private not for profit community managed,3138,MOOROOLBARK,gray.court.kin@kindergarten.vic.gov.au,03 9725 6383,Exceeding NQS,Gray Court MOOROOLBARK 3138 VIC,"(-37.7885314, 145.3277655)"
Lancaster Preschool,Private not for profit community managed,3138,MOOROOLBARK,lancaster.kin@kindergarten.vic.gov.au,397268398,Exceeding NQS,31 Lancaster Road MOOROOLBARK 3138 VIC,"(-37.7824185, 145.3316366)"
Manchester Preschool,Private not for profit community managed,3138,MOOROOLBARK,manchester.kin@kindergarten.vic.gov.au,03 9726 9204,Meeting NQS,132 Manchester Road MOOROOLBARK 3138 VIC,"(-37.7801864, 145.3124336)"
Mooroolbark Early Childhood Education Centre,Private not for profit community managed,3138,MOOROOLBARK,mooroolbark.cc@kindergarten.vic.gov.au,03 9726 7392,Exceeding NQS,8 Charles Street MOOROOLBARK 3138 VIC,"(-37.787137, 145.311668)"
Mt Evelyn Memorial Preschool,Private not for profit community managed,3796,MOUNT EVELYN,mt.evelyn.memorial.kin@kindergarten.vic.gov.au,03 9736 2488,Exceeding NQS,24 Birmingham Road MOUNT EVELYN 3796 VIC,"(-37.7848689, 145.3795193)"
Wandin Preschool,Private not for profit community managed,3139,WANDIN NORTH,wandin.kin@kindergarten.vic.gov.au,359644532,Exceeding NQS,Union Road WANDIN NORTH 3139 VIC,"(-37.7811478, 145.4277942)"
Bimbadeen Preschool,Private not for profit community managed,3138,MOOROOLBARK,bimbadeen.kin@kindergarten.vic.gov.au,03 9726 0646,Meeting NQS,25 Bimbadeen Drive MOOROOLBARK 3138 VIC,"(-37.77336400000001, 145.3251922)"
Seville Preschool,Private not for profit community managed,3139,SEVILLE,seville.kin@kindergarten.vic.gov.au,359643543,Meeting NQS,Link Road SEVILLE 3139 VIC,"(-37.7770933, 145.4577029)"
Coldstream Preschool,Private not for profit community managed,3770,COLDSTREAM,coldstream.kin@kindergarten.vic.gov.au,397391331,Exceeding NQS,12 Kelso Street COLDSTREAM 3770 VIC,"(-37.7333647, 145.38207)"
Joy Avenue Kindergarten,Private not for profit community managed,3796,MOUNT EVELYN,joy.ave.kin@kindergarten.vic.gov.au,397361954,Exceeding NQS,Joy Avenue MOUNT EVELYN 3796 VIC,"(-37.7899824, 145.3829668)"
Aussie Kindies Early Learning Kilsyth,Private for profit,3137,KILSYTH,compliance@affinityeducation.com.au,397234488,Meeting NQS,469 Mt Dandenong Road KILSYTH 3137 VIC,"(-37.8013497, 145.3076317)"
Rolling Hills Kindergarten,Private not for profit community managed,3138,MOOROOLBARK,rolling.hills.kin@kindergarten.vic.gov.au,03 9726 4522,Exceeding NQS,54 Landscape Drive MOOROOLBARK 3138 VIC,"(-37.76722, 145.326933)"
Lakeview Kindergarten & Childcare,Private for profit,3140,LILYDALE,admin@lakeviewchildcare.com.au,03 9739 5678,Exceeding NQS,24 Lakeview Drive LILYDALE 3140 VIC,"(-37.7753176, 145.3573654)"
Como Park Child Care & Kindergarten,Private for profit,3140,LILYDALE,admin@comoparkchildcare.com,397396766,Exceeding NQS,162-164 Nelson Road LILYDALE 3140 VIC,"(-37.7511366, 145.3658729)"
Natural Wonders Early Learning,Private for profit,3138,MOOROOLBARK,naturalwondersearlylearning@hotmail.com,397273033,Exceeding NQS,7 Croydondale Drive MOOROOLBARK 3138 VIC,"(-37.779329, 145.325537)"
Heyfield Kindergarten,Private not for profit community managed,3858,HEYFIELD,heyfield.els@vt.uniting.org,351482633,Exceeding NQS,3 Gordon Street HEYFIELD 3858 VIC,"(-37.9821014, 146.7906076)"
Maffra Queen Street Kindergarten & Occasional Care,Private not for profit community managed,3860,MAFFRA,maffra.els@vt.uniting.org,351471266,Working Towards NQS,21 Queen Street MAFFRA 3860 VIC,"(-37.9656685, 146.9763274)"
Glassford Kindergarten,Private not for profit community managed,3860,MAFFRA,glassford.els@vt.uniting.org,351472394,Exceeding NQS,1 Glassford Street MAFFRA 3860 VIC,"(-37.9688376, 146.9883092)"
Briagolong Kindergarten & Occasional Care Centre,Private not for profit community managed,3860,BRIAGOLONG,briagolong.els@vt.uniting.org,351455420,Meeting NQS,28 Cahill Street BRIAGOLONG 3860 VIC,"(-37.843303, 147.071752)"
Maldon Preschool Centre,Private not for profit community managed,3463,MALDON,maldon.kin@kindergarten.vic.gov.au,343111502,Exceeding NQS,14 - 16 Camp Street MALDON 3463 VIC,"(-36.99320410000001, 144.0680411)"
Malvern Memorial Kindergarten,Private not for profit community managed,3143,ARMADALE,malvern.memorial.kin@kindergarten.vic.gov.au,395091609,Exceeding NQS,15 Orchard Street ARMADALE 3143 VIC,"(-37.8572606, 145.0233492)"
Gardiner Preschool Inc,Private not for profit community managed,3146,GLEN IRIS,gardiner.kin@kindergarten.vic.gov.au,03 9885 4040,Exceeding NQS,10 St Andrews Lane GLEN IRIS 3146 VIC,"(-37.855033, 145.050706)"
Ewing Kindergarten,Private not for profit community managed,3145,MALVERN EAST,ewing.kin@kindergarten.vic.gov.au,395713955,Exceeding NQS,32A Manning Road MALVERN EAST 3145 VIC,"(-37.8731782, 145.049411)"
Sunnyside Kindergarten,Private not for profit community managed,3145,MALVERN EAST,hello@sunnysidekindergarten.org.au,395715349,Exceeding NQS,5 Cooinda Place MALVERN EAST 3145 VIC,"(-37.8800724, 145.066764)"
Samantha's Child Care and Kindergarten,Private for profit,3146,GLEN IRIS,gleniris@samanthaschildcare.com.au,398856474,Meeting NQS,190 Burke Road GLEN IRIS 3146 VIC,"(-37.8596008, 145.0515038)"
Malvern Early Learning and Child Care Centre,Private not for profit community managed,3143,ARMADALE,director@malvernearlylearning.com.au,03 9509 0739,Exceeding NQS,9 Llaneast Street ARMADALE 3143 VIC,"(-37.861405, 145.027307)"
Malvern Day Nursery,Private for profit,3144,MALVERN,malverndaynursery@gmail.com,03 9509 1896,Meeting NQS,101 Tooronga Road MALVERN 3144 VIC,"(-37.8633123, 145.0399711)"
Little St Margarets,Private not for profit other organisations,3144,MALVERN,director@littlestmargarets.com.au,398227106,Exceeding NQS,29 Mayfield Avenue MALVERN 3144 VIC,"(-37.846014, 145.033274)"
Little Paddington Child Care Centre and Kindergarten,Private for profit,3145,MALVERN EAST,littlep@alphalink.com.au,03 9572 3838,Meeting NQS,412 Waverley Road MALVERN EAST 3145 VIC,"(-37.878298, 145.0651865)"
Chabad House of Malvern/Toorak,Private not for profit community managed,3143,ARMADALE,office@chabad.com.au,03 9822 4985,Exceeding NQS,353 Glenferrie Road ARMADALE 3143 VIC,"(-37.852355, 145.0296385)"
Shine Bright Kangaroo Flat Kindergarten,Private not for profit other organisations,3555,KANGAROO FLAT,pieta.pritchard@shinebright.org.au,354477675,Exceeding NQS,1 Carpenter Street KANGAROO FLAT 3555 VIC,"(-36.7938217, 144.2430836)"
